INDEX,YEAR,MN,HR,DBT,DPT,RH
42701,1969,03,48,33,-0.7,012
42701,1969,03,48,31,3.8,018
42701,1969,03,48,31.4,-1.4,012
42701,1969,03,48,31.4,-0.6,013
42701,1969,03,48,32.4,4,017
42701,1969,03,48,33.2,3.7,016
42701,1969,03,48,33.4,4.8,017
42701,1969,03,48,34.6,6.6,018
42701,1969,03,48,34.4,6.2,017
42701,1969,03,48,33.2,4.4,016
42701,1969,03,48,32.8,-0.4,012
42701,1969,03,48,32.4,1.9,014
42701,1969,03,48,32.2,0.6,013
42701,1969,04,12,29,3.1,019
42701,1969,04,12,28.4,5.7,024
42701,1969,04,12,28,2.4,019
42701,1969,04,12,27.8,14.8,045
42701,1969,04,12,29,6.8,025
42701,1969,04,12,30.4,11.6,031
42701,1969,04,12,30.8,3.4,018
42701,1969,04,12,24.4,15.9,059
42701,1969,04,12,22.4,15.3,064
42701,1969,04,12,23.6,17.4,068
42701,1969,04,12,27,17.2,055
42701,1969,04,12,30.6,12.3,033
42701,1969,04,12,31.6,8.5,024
42701,1969,04,12,29.8,9.7,029
42701,1969,04,12,31.6,14.2,035
42701,1969,04,12,29.2,16.9,048
42701,1969,04,12,24.6,19.8,075
42701,1969,04,12,26.6,20.7,070
42701,1969,04,12,29.6,19.9,056
42701,1969,04,12,30.6,13.3,036
42701,1969,04,12,26.8,19.7,065
42701,1969,04,12,27.4,9.4,032
42701,1969,04,12,28.2,,017
42701,1969,04,12,28.6,11.3,032
42701,1969,04,12,29,16.7,047
42701,1969,04,12,29,11.8,035
42701,1969,04,12,30,12.8,035
42701,1969,04,12,29,11.8,035
42701,1969,04,12,19.4,17.2,087
42701,1969,04,36,34.6,1,012
42701,1969,04,36,34,,006
42701,1969,04,36,36,-3.4,008
42701,1969,04,36,37.4,,028
42701,1969,04,36,34.4,4.9,016
42701,1969,04,36,37.4,6,015
42701,1969,04,36,35,1.2,012
42701,1969,04,36,31.4,13.1,033
42701,1969,04,36,30,15.3,041
42701,1969,04,36,31,12,031
42701,1969,04,36,33.4,9,022
42701,1969,04,36,37.4,6,015
42701,1969,04,36,38,8.5,016
42701,1969,04,36,36.2,9.3,019
42701,1969,04,36,36,11.8,023
42701,1969,04,36,37.6,6.4,015
42701,1969,04,36,36.6,10.3,020
42701,1969,04,36,32.2,,046
42701,1969,04,36,35.8,4.6,014
42701,1969,04,36,36.6,10.3,020
42701,1969,04,36,35,14,028
42701,1969,04,36,35,13.1,027
42701,1969,04,36,34,8.4,021
42701,1969,04,36,33.2,2.2,014
42701,1969,04,36,35,-1.5,010
42701,1969,04,36,25.4,16,056
42701,1969,04,36,35.2,,009
42701,1969,04,36,36.2,6.7,016
42701,1969,04,36,36.4,12.5,024
42701,1969,04,36,24.4,16.2,060
42701,1969,04,48,33.4,-1.4,011
42701,1969,04,48,33,-4.6,009
42701,1969,04,48,34.4,1.3,012
42701,1969,04,48,35,4.2,015
42701,1969,04,48,33.4,6.1,018
42701,1969,04,48,35.4,3.6,014
42701,1969,04,48,28.4,10.4,033
42701,1969,04,48,30,3.8,019
42701,1969,04,48,28.6,15.4,045
42701,1969,04,48,30.8,10.3,028
42701,1969,04,48,33.2,9.1,023
42701,1969,04,48,36.8,6.7,016
42701,1969,04,48,36.4,7.1,017
42701,1969,04,48,35,8,019
42701,1969,04,48,35.6,11.2,023
42701,1969,04,48,36.8,5.4,014
42701,1969,04,48,23.8,18.5,077
42701,1969,04,48,23.4,19.8,080
42701,1969,04,48,34.4,9.1,021
42701,1969,04,48,34.8,14.6,030
42701,1969,04,48,30.4,12.5,033
42701,1969,04,48,28,,067
42701,1969,04,48,33.4,4.8,017
42701,1969,04,48,33,1.8,014
42701,1969,04,48,34.4,,009
42701,1969,04,48,28.4,15.9,047
42701,1969,04,48,35.4,,007
42701,1969,04,48,32,6.4,020
42701,1969,04,48,34.4,11.7,025
42701,1969,04,48,24.8,17.4,063
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
